"Financial Date","Transaction Date","Account Off.","Account Off. Code","Teller","Reference No.","Account Name","Account No.","Branch","Region","Debit","Credit","Entry Code","Instrument No.","Narration"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Olamide Michael Kazeem",1100007477,"Head Office","Head Office",,30202.23,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Olukanni Kikelomo Victoria",1100008326,"Head Office","Head Office",,41313.34,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"DIAMOND BANK",10430001,"Head Office","Head Office",170452.14,,"D203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Adejumo Adebayo Gbenga",1100003613,"Head Office","Head Office",,19034.9,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Ayorinde Joseph Abiodun",1100003974,"Head Office","Head Office",,52745,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Adedayo Abolaji Badejo",1100004232,"Head Office","Head Office",,6500,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:26",,,"Dada, Faithful",1811070004,"Nwachukwu Osinachi",1100010444,"Head Office","Head Office",,20656.67,"C203 ",,"Loan Repayment- Foodconcept Oct'18"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Alhassan Danladi Mohammed",1100010815,"Head Office","Head Office",100000,,"D203 ",,"withdrawal from bank"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Amicable Links",1100011094,"Head Office","Head Office",,14000,"C203 ",,"loan repayment-lwasn Kolawole/amicabl"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Ogugua Francis Kwubakaoto",1100011362,"Head Office","Head Office",19572,,"D804 ",,"Eco Bank Cheque return-Omolola"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BELLO MARYAM",1100011393,"Head Office","Head Office",19572,,"D804 ",,"Eco Bank Cheque return"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"OSUOLALE BUSINESS ENTERPRISE",1100011654,"Head Office","Head Office",,159000,"C203 ",,"loan repayment-Ibrahim Osuolale"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Micheal Chigozie Ashieze",1100000461,"Head Office","Head Office",51000,,"D804 ",,"withdrawal from bank"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Jolomi Dediare",1100000540,"Head Office","Head Office",,20000,"C203 ",,"loan repayment-Jolomi OCD Hotel"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Onyekachi Hillary Urama",1100002472,"Head Office","Head Office",150000,,"D203 ",,"withdrawal from bank"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"OTHER LIABILITIES- PROV.& ACCR",20070014,"Head Office","Head Office",291666.66,,"D203 ",,"monthly car repayment"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"TELEPHONE & FAX",50050020,"Head Office","Head Office",5000,,"D203 ",,"call card for recovery"
