"Financial Date","Transaction Date","Account Off.","Account Off. Code","Teller","Reference No.","Account Name","Account No.","Branch","Region","Debit","Credit","Entry Code","Instrument No.","Narration"
"06-Nov-18","11/07/2018 14:05",,,"Ogunruku, Tosin",1811060010,"Integrated Energy Services",2970010000000000,"Head Office","Head Office",,2500000,"C885 ",,"Loan closure N2,500,000 (Re- booked for Omoba Farm)"
"06-Nov-18","11/07/2018 14:05",,,"Ogunruku, Tosin",1811060010,"Integrated Energy Services",1100003864,"Head Office","Head Office",2500000,,"D884 ",,"Loan closure N2,500,000 (Re- booked for Omoba Farm)"
"06-Nov-18","11/07/2018 14:00",,,"Ajogwu, Michael",1811060009,"OMOBA FARM LTD",1100012170,"Head Office","Head Office",,2500000,"C807 ","2970010000000000","Loan Disbursement approved on 06-Nov-2018"
"06-Nov-18","11/07/2018 14:00",,,"Ajogwu, Michael",1811060009,"OMOBA FARM LTD",1100012170,"Head Office","Head Office",87500,,"D403 ","2970010000000000","PROCESSING FEE on 02970012010001217"
"06-Nov-18","11/07/2018 14:00",,,"Ajogwu, Michael",1811060009,"OMOBA FARM LTD",2970010000000000,"Head Office","Head Office",2500000,,"D806 ","2970010000000000","Loan Disbursement info 02970011010001217. Approved on 06-Nov-2018"
"06-Nov-18","11/07/2018 14:00",,,"Ajogwu, Michael",1811060009,"PROCESSING FEE INCOME",40060015,"Head Office","Head Office",,87500,"C403 ","2970010000000000","PROCESSING FEE on 02970012010001217"
"06-Nov-18","11/07/2018 13:58",,,"Obiora, Marie",1811060008,"OMOBA FARM LTD",1100012170,"Head Office","Head Office",63.73,,"D203 ",,"Transfer balance from Integrated Energy Services"
"06-Nov-18","11/07/2018 13:58",,,"Obiora, Marie",1811060008,"Integrated Energy Services",1100003864,"Head Office","Head Office",,63.73,"C203 ",,"Transfer balance to Omoba Farms"
"06-Nov-18","11/07/2018 13:43",,,"Obiora, Marie",1811060007,"Integrated Energy Services",1100003864,"Head Office","Head Office",,87500,"C203 ",,"RVSL processing fee integrated Energy Serv"
"06-Nov-18","11/07/2018 13:43",,,"Obiora, Marie",1811060007,"PROCESSING FEE INCOME",40060015,"Head Office","Head Office",87500,,"D203 ",,"RVSL processing fee Integrated Energy Serv"
"06-Nov-18","11/07/2018 13:05",,,"Obiora, Marie",1811060006,"INSURNANCE FEE INCOME",40060024,"Head Office","Head Office",25000,,"D203 ",,"RVSL Insurance fee on Integrated Energy loan"
"06-Nov-18","11/07/2018 13:05",,,"Obiora, Marie",1811060006,"Integrated Energy Services",1100003864,"Head Office","Head Office",,25000,"C203 ",,"RVSL Inurance fee Int Energy Serv"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Olanrewaju Azeez",1100010901,"Head Office","Head Office",,78288,"C203 ",,"loan repayment-Azeez Olarewaju"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Gabriel Adebayo",1100010918,"Head Office","Head Office",,19572,"C203 ",,"loan repayment-Gabriel Adebayo"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Awoniyi Olusoji Moses",1100010925,"Head Office","Head Office",,19574,"C203 ",,"loan repayment-Awoniyi olusoji"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Adetayo Oluwafemi",1100010932,"Head Office","Head Office",,39144,"C203 ",,"loan repayment-Adetayo oluwafemi"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Moshood Ahmed",1100010949,"Head Office","Head Office",,19572,"C203 ",,"loan repayment-Moshood Adeyemi"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"Omuyadum Fawzydeen",1100010956,"Head Office","Head Office",,19572,"C203 ",,"loan repayment-omuyadum Fawydeen"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"INTEREST INCOME - HIRE PURCHASE",40010012,"Head Office","Head Office",,2498,"C203 ",,"income Great height"
"06-Nov-18","11/07/2018 11:02",,,"Dada, Faithful",1811060004,"DIAMOND BANK",10430001,"Head Office","Head Office",198220,,"D203 ",,"loan repayment Great height/Azeez"
"06-Nov-18","11/07/2018 10:11",,,"Obiora, Marie",1811060005,"Jolomi Dediare",1100000540,"Head Office","Head Office",114600,,"D203 ",,"Withdrawal from bank"
"06-Nov-18","11/07/2018 10:11",,,"Obiora, Marie",1811060005,"Letam confidence Lebari",1100005404,"Head Office","Head Office",,114600,"C203 ",,"Reversal withdrawal from bank"
"06-Nov-18","11/07/2018 09:51",,,"Dada, Faithful",1811060003,"Ayoola Samuel Olamilekan",1100008474,"Head Office","Head Office",,26600,"C203 ",,"loan repayment-samuel olamilekan"
"06-Nov-18","11/07/2018 09:51",,,"Dada, Faithful",1811060003,"Amicable Links",1100011094,"Head Office","Head Office",,30000,"C203 ",,"loan repayment-Amicable links"
"06-Nov-18","11/07/2018 09:51",,,"Dada, Faithful",1811060003,"Scientext Ventures",1100011173,"Head Office","Head Office",,105833,"C203 ",,"loan repayment-Scientext Ventures"
"06-Nov-18","11/07/2018 09:51",,,"Dada, Faithful",1811060003,"Skydiamond Services",1100011214,"Head Office","Head Office",,30000,"C203 ",,"loan repayment-skydiamond services"
"06-Nov-18","11/07/2018 09:51",,,"Dada, Faithful",1811060003,"Kuboye Adewale",1100010822,"Head Office","Head Office",,53000,"C203 ",,"Loan repayment-Adebowale Kuboye"
